text,target,clean_text
"I feel like I'm always falling asleep during the day, no matter what I do.",1,feel like always falling asleep matter
I'm afraid of the potential for serious health problems due to my chronic sleep deprivation.,1,afraid potential serious health problems chronic sleep deprivation
I'm constantly feeling like I'm not in control of my sleep patterns or routine.,1,constantly feeling like control sleep patterns routine
I'm worried that my sleep deprivation is affecting my ability to make good decisions.,1,worried sleep deprivation affecting ability make good decisions
I'm struggling to find a way to relax and calm my mind before bed.,1,struggling find relax calm mind
"I feel like I'm always on edge, and I can't seem to relax and unwind.",1,feel like always edge seem relax unwind
I'm afraid of the potential for long-term damage to my health due to my lack of sleep.,1,afraid potential long term damage health lack sleep
I'm constantly feeling like I'm not getting enough rest and recovery.,1,constantly feeling like getting enough rest recovery
I'm struggling to find a way to prioritize my sleep without sacrificing other important tasks and responsibilities.,1,struggling find prioritize sleep without sacrificing important tasks responsibilities
"I feel like I'm always in a state of exhaustion, and I can't seem to shake it.",1,feel like always state exhaustion seem shake
I'm worried that my sleep deprivation is affecting my emotional stability and making me more prone to mood swings.,1,worried sleep deprivation affecting emotional stability making prone mood swings
I'm constantly feeling like I'm not able to perform at my best because of my lack of sleep.,1,constantly feeling like able perform best lack sleep
I'm struggling to find a way to stay focused and productive despite my sleep deprivation.,1,struggling find stay focused productive despite sleep deprivation
"I feel like I'm always running on fumes,",1,feel like always running fumes
I'm constantly feeling like I'm behind on my tasks and responsibilities.,2,constantly feeling like behind tasks responsibilities
I'm struggling to manage my time effectively and get everything done on my to-do list.,2,struggling manage time effectively everything done list
I feel like I'm always playing catch-up and can't seem to get ahead.,2,feel like always playing catch seem ahead
I'm worried that I'll never be able to complete everything on my to-do list.,2,worried never able complete everything list
I'm constantly feeling overwhelmed by the number of tasks I have to do.,2,constantly feeling overwhelmed number tasks
I'm afraid of disappointing others or letting them down because I can't complete my tasks.,2,afraid disappointing others letting complete tasks
I'm struggling to find a way to prioritize my tasks and responsibilities effectively.,2,struggling find prioritize tasks responsibilities effectively
I feel like I'm always rushing and can't seem to slow down and focus on my tasks.,2,feel like always rushing seem slow focus tasks
I'm worried that my incomplete to-do list is affecting my mental health and causing me stress.,2,worried incomplete list affecting mental health causing stress
I'm constantly feeling like I'm not doing enough or accomplishing enough.,2,constantly feeling like enough accomplishing enough
I'm struggling to find a way to balance my work and personal life with my to-do list.,2,struggling find balance work personal life list
I feel like I'm always forgetting important tasks or responsibilities.,2,feel like always forgetting important tasks responsibilities
I'm afraid of the potential for negative consequences if I don't complete my to-do list.,2,afraid potential negative consequences complete list
I'm constantly feeling like I'm not in control of my schedule or workload.,2,constantly feeling like control schedule workload
I'm worried that my incomplete to-do list is affecting my ability to be productive.,2,worried incomplete list affecting ability productive
I'm struggling to find a way to stay motivated and focused on my tasks.,2,struggling find stay motivated focused tasks
I feel like I'm always procrastinating or putting off important tasks.,2,feel like always procrastinating putting important tasks
I'm afraid of the potential for conflicts or missed deadlines if I don't complete my to-do list.,2,afraid potential conflicts missed deadlines complete list
I'm constantly feeling like I'm not able to meet my own expectations or those of others.,2,constantly feeling like able meet expectations others
I'm struggling to find a way to break the cycle of incomplete tasks and responsibilities.,2,struggling find break cycle incomplete tasks responsibilities
I feel like I'm always making excuses or blaming others for my incomplete to-do list.,2,feel like always making excuses blaming others incomplete list
I'm worried that my incomplete to-do list is affecting my relationships with others.,2,worried incomplete list affecting relationships others
I'm constantly feeling like I'm not living up to my own potential.,2,constantly feeling like living potential
I'm struggling to find a way to stay organized and keep track of my tasks.,2,struggling find stay organized keep track tasks
"I feel like I'm always rushing from one task to another, and I can't seem to slow down.",2,feel like always rushing task another seem slow
I'm afraid of the potential for burnout or exhaustion if I don't complete my to-do list.,2,afraid potential burnout exhaustion complete list
I'm constantly feeling like I'm not able to enjoy my free time because of my incomplete tasks.,2,constantly feeling like able enjoy free time incomplete tasks
I'm worried that my incomplete to-do list is affecting my ability to make good decisions.,2,worried incomplete list affecting ability make good decisions
I'm struggling to find a way to stay focused and avoid distractions while completing my tasks.,2,struggling find stay focused avoid distractions completing tasks
I feel like I'm always multitasking and can't seem to focus on one task at a time.,2,feel like always multitasking seem focus task time
I'm afraid of the potential for negative consequences in my personal or professional life if I don't complete my to-do list.,2,afraid potential negative consequences personal professional life complete list
I'm constantly feeling like I'm not able to meet my own standards or goals.,2,constantly feeling like able meet standards goals
I'm worried that my incomplete to-do list is affecting my ability to be creative or innovative.,2,worried incomplete list affecting ability creative innovative
I'm struggling to find a way to stay motivated and avoid procrastination.,2,struggling find stay motivated avoid procrastination
I feel like I'm always rushing and can't seem to slow down and enjoy the moment.,2,feel like always rushing seem slow enjoy moment
I'm afraid of the potential for missed opportunities or experiences if I don't complete my to-do list.,2,afraid potential missed opportunities experiences complete list
I'm constantly feeling like I'm not able to keep up with my peers or competitors.,2,constantly feeling like able keep peers competitors
I'm worried that my incomplete to-do list is affecting my ability to be a good parent or partner.,2,worried incomplete list affecting ability good parent partner
I'm struggling to find a way to prioritize my own self-care and well-being alongside my to-do list.,2,struggling find prioritize self care well alongside list
I feel like I'm always making sacrifices and compromises in order to complete my tasks.,2,feel like always making sacrifices compromises order complete tasks
I'm afraid of the potential for negative feedback or criticism if I don't complete my to-do list.,2,afraid potential negative feedback criticism complete list
I'm constantly feeling like I'm not able to achieve my full potential because of my incomplete tasks.,2,constantly feeling like able achieve full potential incomplete tasks
I'm worried that my incomplete to-do list is affecting my ability to be a good employee or teammate.,2,worried incomplete list affecting ability good employee teammate
I'm struggling to find a way to balance my immediate tasks with my long-term goals and aspirations.,2,struggling find balance immediate tasks long term goals aspirations
"I feel like I'm always in a rush, and I can't seem to slow down and enjoy the moment.",2,feel like always rush seem slow enjoy moment
I'm afraid of the potential for missed opportunities or promotions if I don't complete my to-do list.,2,afraid potential missed opportunities promotions complete list
I'm constantly feeling like I'm not able to do my work on time.,2,constantly feeling like able work time
My incomplete to-do list is causing me so much stress.,2,incomplete list causing much stress
I feel like I'm drowning in all the tasks I haven't completed.,2,feel like drowning tasks completed
I don't know how I'm going to get everything done on my to-do list.,2,know going everything done list
I'm feeling so stressed because I haven't accomplished anything today.,3,feeling stressed accomplished anything today
I don't even know where to start because I haven't achieved anything in so long.,3,even know start achieved anything long
I feel like I'm stuck in a rut and can't seem to make any progress.,3,feel like stuck seem make progress
I'm worried that I'll never be able to achieve my goals because I haven't accomplished much so far.,3,worried never able achieve goals accomplished much
I'm constantly feeling like I'm not living up to my own expectations or those of others.,3,constantly feeling like living expectations others
I'm struggling to find a way to motivate myself and make progress towards my goals.,3,struggling find motivate make progress towards goals
I feel like I'm wasting my time and not making any meaningful contributions.,3,feel like wasting time making meaningful contributions
I'm afraid of disappointing others or letting them down because I haven't achieved anything significant.,3,afraid disappointing others letting achieved anything significant
I'm constantly feeling like I'm not doing enough or making enough progress.,3,constantly feeling like enough making enough progress
I'm worried that my lack of achievement is affecting my mental health and causing me stress.,3,worried lack achievement affecting mental health causing stress
I'm struggling to find a way to break out of my current situation and make progress towards my goals.,3,struggling find break current situation make progress towards goals
I feel like I'm always making excuses or blaming others for my lack of achievement.,3,feel like always making excuses blaming others lack achievement
I'm afraid of the potential for negative consequences if I don't start achieving more.,3,afraid potential negative consequences start achieving
I'm constantly feeling like I'm not able to reach my full potential.,3,constantly feeling like able reach full potential
I'm worried that my lack of achievement is affecting my ability to be productive and successful.,3,worried lack achievement affecting ability productive successful
I'm struggling to find a way to stay motivated and focused on my goals.,3,struggling find stay motivated focused goals
I feel like I'm always procrastinating or putting off important tasks.,3,feel like always procrastinating putting important tasks
I'm afraid of the potential for missed opportunities or experiences if I don't start achieving more.,3,afraid potential missed opportunities experiences start achieving
I'm constantly feeling like I'm not able to keep up with my peers or competitors.,3,constantly feeling like able keep peers competitors
I'm worried that my lack of achievement is affecting my ability to be a good employee or teammate.,3,worried lack achievement affecting ability good employee teammate
I'm struggling to find a way to balance my short-term and long-term goals.,3,struggling find balance short term long term goals
I feel like I'm always second-guessing my decisions and actions because of my lack of achievement.,3,feel like always second guessing decisions actions lack achievement
I'm afraid of the potential for negative feedback or criticism if I don't start achieving more.,3,afraid potential negative feedback criticism start achieving
I'm constantly feeling like I'm not able to enjoy my free time because of my lack of achievement.,3,constantly feeling like able enjoy free time lack achievement
I'm worried that my lack of achievement is affecting my relationships with others.,3,worried lack achievement affecting relationships others
I'm struggling to find a way to prioritize my tasks and responsibilities effectively.,3,struggling find prioritize tasks responsibilities effectively
I feel like I'm always rushing and can't seem to slow down and focus on my goals.,3,feel like always rushing seem slow focus goals
I'm afraid of the potential for burnout or exhaustion if I don't start achieving more.,3,afraid potential burnout exhaustion start achieving
I'm constantly feeling like I'm not able to meet my own standards or goals.,3,constantly feeling like able meet standards goals
I'm worried that my lack of achievement is affecting my ability to be creative or innovative.,3,worried lack achievement affecting ability creative innovative
I'm struggling to find a way to stay motivated and avoid procrastination.,3,struggling find stay motivated avoid procrastination
I feel like I'm always making sacrifices and compromises in order to achieve my goals.,3,feel like always making sacrifices compromises order achieve goals
I'm afraid of the potential for missed opportunities or growth if I don't start achieving more.,3,afraid potential missed opportunities growth start achieving
I'm constantly feeling like I'm not able to maintain a healthy work-life balance because of my lack of achievement.,3,constantly feeling like able maintain healthy work life balance lack achievement
I'm worried that my lack of achievement is affecting my ability to learn and grow.,3,worried lack achievement affecting ability learn grow
I'm struggling to find a way to manage my stress and anxiety related to my lack of achievement.,3,struggling find manage stress anxiety related lack achievement
"I feel like I'm always feeling guilty or ashamed of my lack of achievement, even when I know I'm doing my best.",3,feel like always feeling guilty ashamed lack achievement even know best
I'm afraid of the potential for missed deadlines or opportunities if I don't start achieving more.,3,afraid potential missed deadlines opportunities start achieving
I'm constantly feeling like I'm not able to fully enjoy my successes or accomplishments because of my lack of achievement.,3,constantly feeling like able fully enjoy successes accomplishments lack achievement
I'm worried that my lack of achievement is affecting my overall sense of purpose and direction.,3,worried lack achievement affecting overall sense purpose direction
I'm struggling to find a way to stay accountable and motivated to achieve my goals.,3,struggling find stay accountable motivated achieve goals
"I feel like I'm always starting new projects or goals before completing old ones, leading to a never-ending cycle of incomplete achievements.",3,feel like always starting projects goals completing ones leading never ending cycle incomplete achievements
I'm afraid of the potential for negative consequences for myself or others if I don't start achieving more.,3,afraid potential negative consequences others start achieving
I'm constantly feeling like I'm not able to stay organized and on top of my tasks and responsibilities.,3,constantly feeling like able stay organized tasks responsibilities
I'm worried that my lack of achievement is affecting my ability to be a good friend or family member.,3,worried lack achievement affecting ability good friend family member
I'm struggling to find a way to stay focused and avoid getting distracted by other tasks or responsibilities.,3,struggling find stay focused avoid getting distracted tasks responsibilities
I'm feeling so overwhelmed because I haven't achieved anything lately.,3,feeling overwhelmed achieved anything lately
I don't know how to break out of this cycle of not achieving anything.,3,know break cycle achieving anything
I feel like I'm stuck and can't seem to make any progress towards my goals.,3,feel like stuck seem make progress towards goals
I'm worried that my lack of achievement is affecting my self-esteem and confidence.,3,worried lack achievement affecting self esteem confidence
I'm feeling so stressed because I haven't been socializing much lately.,4,feeling stressed socializing much lately
I don't know how to balance my need for alone time with my desire for social connection.,4,know balance need alone time desire social connection
"I feel like I'm missing out on social opportunities, but I don't have the energy to engage.",4,feel like missing social opportunities energy engage
I'm worried that my lack of socializing is affecting my mental health and causing me stress.,4,worried lack socializing affecting mental health causing stress
I'm constantly feeling like I'm not meeting others' expectations of how much I should socialize.,4,constantly feeling like meeting others expectations much socialize
I'm struggling to find a way to prioritize my need for alone time while still maintaining social connections.,4,struggling find prioritize need alone time still maintaining social connections
I feel like I'm not able to express myself fully in social situations because I'm always holding back.,4,feel like able express fully social situations always holding back
I'm afraid of missing out on opportunities or experiences because I'm not socializing enough.,4,afraid missing opportunities experiences socializing enough
I'm constantly feeling like I'm not doing enough to maintain my relationships with others.,4,constantly feeling like enough maintain relationships others
I'm worried that my lack of socializing is affecting my ability to be successful professionally.,4,worried lack socializing affecting ability successful professionally
I'm struggling to find a way to balance my introverted nature with the demands of social situations.,4,struggling find balance introverted nature demands social situations
I feel like I'm always making excuses to avoid social situations.,4,feel like always making excuses avoid social situations
I'm afraid of the potential for negative consequences in my personal or professional life if I don't socialize more.,4,afraid potential negative consequences personal professional life socialize
I'm constantly feeling like I'm not able to enjoy social situations because of my introverted nature.,4,constantly feeling like able enjoy social situations introverted nature
I'm worried that my lack of socializing is affecting my ability to make meaningful connections with others.,4,worried lack socializing affecting ability make meaningful connections others
I'm struggling to find a way to stay connected with others without feeling overwhelmed.,4,struggling find stay connected others without feeling overwhelmed
"I feel like I'm always avoiding social situations, even when I know they could be beneficial for me.",4,feel like always avoiding social situations even know could beneficial
I'm afraid of the potential for missed opportunities or growth if I don't socialize more.,4,afraid potential missed opportunities growth socialize
I'm constantly feeling like I'm not able to be my true self in social situations.,4,constantly feeling like able true self social situations
I'm worried that my lack of socializing is affecting my ability to be a good friend or family member.,4,worried lack socializing affecting ability good friend family member
I'm struggling to find a way to balance my need for alone time with my desire for social connection.,4,struggling find balance need alone time desire social connection
I feel like I'm not able to fully express my thoughts and feelings in social situations.,4,feel like able fully express thoughts feelings social situations
I'm afraid of the potential for negative feedback or criticism if I don't socialize more.,4,afraid potential negative feedback criticism socialize
I'm constantly feeling like I'm not able to be fully present in social situations because of my introverted nature.,4,constantly feeling like able fully present social situations introverted nature
I'm worried that my lack of socializing is affecting my ability to be successful romantically.,4,worried lack socializing affecting ability successful romantically
I'm struggling to find a way to socialize without feeling drained or overwhelmed.,4,struggling find socialize without feeling drained overwhelmed
I feel like I'm always being judged or evaluated in social situations.,4,feel like always judged evaluated social situations
I'm afraid of the potential for social isolation or loneliness if I don't socialize more.,4,afraid potential social isolation loneliness socialize
I'm constantly feeling like I'm not able to connect with others on a deep level because of my introverted nature.,4,constantly feeling like able connect others deep level introverted nature
I'm worried that my lack of socializing is affecting my ability to be a good colleague or team member.,4,worried lack socializing affecting ability good colleague team member
I'm struggling to find a way to balance my need for alone time with my desire for social connection.,4,struggling find balance need alone time desire social connection
I feel like I'm always being asked to participate in social activities that don't align with my interests.,4,feel like always asked participate social activities align interests
I'm afraid of the potential for missed opportunities for personal growth and development if I don't socialize more.,4,afraid potential missed opportunities personal growth development socialize
I'm constantly feeling like I'm not able to be myself in social situations because of my introverted nature.,4,constantly feeling like able social situations introverted nature
I'm worried that my lack of socializing is affecting my ability to be successful in my career.,4,worried lack socializing affecting ability successful career
I'm struggling to find a way to socialize without feeling like I'm compromising my values or beliefs.,4,struggling find socialize without feeling like compromising values beliefs
I feel like I'm always being forced out of my comfort zone in social situations.,4,feel like always forced comfort zone social situations
I'm afraid of the potential for negative consequences in my personal or professional life if I don't socialize more.,4,afraid potential negative consequences personal professional life socialize
I'm constantly feeling like I'm not able to fully enjoy social situations because of my introverted nature.,4,constantly feeling like able fully enjoy social situations introverted nature
I'm worried that my lack of socializing is affecting my mental health and causing me stress.,4,worried lack socializing affecting mental health causing stress
I'm struggling to find a way to stay connected with others without feeling drained or overwhelmed.,4,struggling find stay connected others without feeling drained overwhelmed
"I feel like I'm always being pressured to socialize more, even when I know it's not what's best for me.",4,feel like always pressured socialize even know best
I'm afraid of the potential for missed opportunities for personal growth and development if I don't socialize more.,4,afraid potential missed opportunities personal growth development socialize
I'm constantly feeling like I'm not able to make meaningful connections with others.,4,constantly feeling like able make meaningful connections others
I'm feeling so stressed because I haven't been socializing much lately.,4,feeling stressed socializing much lately
"I feel like I'm missing out on social opportunities, but I don't have the energy to engage.",4,feel like missing social opportunities energy engage
I'm worried that my lack of socializing is affecting my mental health and causing me stress.,4,worried lack socializing affecting mental health causing stress
I'm struggling to find a way to balance my need for alone time with my desire for social connection.,4,struggling find balance need alone time desire social connection
I'm constantly feeling like I'm not doing enough to maintain my relationships with others.,4,constantly feeling like enough maintain relationships others
I'm afraid of the potential for negative consequences in my personal or professional life if I don't socialize more.,4,afraid potential negative consequences personal professional life socialize
I'm feeling so stressed because I can't seem to stick to a healthy diet.,6,feeling stressed seem stick healthy diet
I'm struggling to find the motivation to make healthy food choices.,6,struggling find motivation make healthy food choices
I feel like I'm constantly giving in to my cravings and weaknesses.,6,feel like constantly giving cravings weaknesses
I'm worried that my unhealthy diet is affecting my physical health and well-being.,6,worried unhealthy diet affecting physical health well
I'm constantly feeling guilty about my food choices and lack of willpower.,6,constantly feeling guilty food choices lack willpower
I'm afraid of the potential for negative health consequences if I don't improve my diet.,6,afraid potential negative health consequences improve diet
I'm struggling to find a way to balance my desire for indulgent foods with my need for a healthy diet.,6,struggling find balance desire indulgent foods need healthy diet
I feel like I'm always making excuses for my unhealthy food choices.,6,feel like always making excuses unhealthy food choices
I'm worried that my poor diet is affecting my mental health and causing me stress.,6,worried poor diet affecting mental health causing stress
I'm constantly feeling like I'm not able to make progress towards my health and wellness goals because of my diet.,6,constantly feeling like able make progress towards health wellness goals diet
I'm struggling to find a way to overcome my cravings and weaknesses for unhealthy foods.,6,struggling find overcome cravings weaknesses unhealthy foods
I feel like I'm not able to enjoy food in a healthy way because of my unhealthy diet habits.,6,feel like able enjoy food healthy unhealthy diet habits
I'm afraid of the potential for negative self-image and low self-esteem as a result of my poor diet.,6,afraid potential negative self image self esteem result poor diet
I'm constantly feeling like I'm not able to maintain a healthy weight because of my diet habits.,6,constantly feeling like able maintain healthy weight diet habits
I'm worried that my poor diet is affecting my ability to be successful professionally.,6,worried poor diet affecting ability successful professionally
I'm struggling to find a way to stay motivated to make healthy food choices.,6,struggling find stay motivated make healthy food choices
"I feel like I'm always falling back into unhealthy eating habits, even when I know they're not good for me.",6,feel like always falling back unhealthy eating habits even know good
I'm afraid of the potential for negative health consequences in the future if I don't improve my diet.,6,afraid potential negative health consequences future improve diet
I'm constantly feeling like I'm not able to find healthy food options that I enjoy.,6,constantly feeling like able find healthy food options enjoy
I'm worried that my poor diet habits are affecting my relationships with others.,6,worried poor diet habits affecting relationships others
I'm struggling to find a way to balance my love for food with my need for a healthy diet.,6,struggling find balance love food need healthy diet
I feel like I'm always giving in to temptation when it comes to unhealthy foods.,6,feel like always giving temptation comes unhealthy foods
I'm afraid of the potential for missed opportunities or experiences if I don't improve my diet.,6,afraid potential missed opportunities experiences improve diet
I'm constantly feeling like I'm not able to make progress towards my fitness goals because of my diet.,6,constantly feeling like able make progress towards fitness goals diet
I'm worried that my poor diet is affecting my ability to be successful personally.,6,worried poor diet affecting ability successful personally
I'm struggling to find a way to make healthy food choices when I'm eating out or traveling.,6,struggling find make healthy food choices eating traveling
I feel like I'm not able to enjoy social situations that involve food because of my unhealthy diet habits.,6,feel like able enjoy social situations involve food unhealthy diet habits
I'm afraid of the potential for negative health consequences for my loved ones if I don't improve my diet.,6,afraid potential negative health consequences loved ones improve diet
I'm constantly feeling like I'm not able to find healthy food options that are satisfying and filling.,6,constantly feeling like able find healthy food options satisfying filling
I'm worried that my poor diet is affecting my mental clarity and focus.,6,worried poor diet affecting mental clarity focus
I'm struggling to find a way to overcome my emotional attachment to unhealthy foods.,6,struggling find overcome emotional attachment unhealthy foods
"I feel like I'm always making exceptions to my healthy diet, even when I know it's not good for me.",6,feel like always making exceptions healthy diet even know good
I'm afraid of the potential for negative consequences to my physical health if I don't improve my diet.,6,afraid potential negative consequences physical health improve diet
I'm constantly feeling like I'm not able to find healthy food options that fit with my lifestyle and schedule.,6,constantly feeling like able find healthy food options lifestyle schedule
I'm worried that my poor diet habits are affecting my ability to be successful professionally.,6,worried poor diet habits affecting ability successful professionally
I'm struggling to find a way to balance my love for cooking and baking with my need for a healthy diet.,6,struggling find balance love cooking baking need healthy diet
I feel like I'm not able to enjoy food in a guilt-free way because of my unhealthy diet habits.,6,feel like able enjoy food guilt free unhealthy diet habits
I'm afraid of the potential for negative self-talk and criticism as a result of my poor diet.,6,afraid potential negative self talk criticism result poor diet
I'm constantly feeling like I'm not able to enjoy food in a way that is both healthy and satisfying.,6,constantly feeling like able enjoy food healthy satisfying
